ID	X_x	Y_x	Z_x	X_y	Y_y	Z_y	Distances	Velocity
10	2628632.103	1104505.282	2802.4541	2628632.103	1104505.282	2802.4541	0.0	0.0
11	2628632.103	1104505.282	2802.4541	2628632.103	1104505.282	2802.4541	0.0	0.0
12	2628632.103	1104505.282	2802.4541	2628632.103	1104505.282	2802.4541	0.0	0.0
13	2628632.103	1104505.282	2802.4541	2628632.103	1104505.282	2802.4541	0.0	0.0
14	2628564.757	1104513.436	2769.6909	2628564.757	1104513.436	2769.6909	0.0	0.0
15	2628564.757	1104513.436	2769.6909	2628564.757	1104513.436	2769.6909	0.0	0.0
16	2628564.757	1104513.436	2769.6909	2628564.757	1104513.436	2769.6909	0.0	0.0
17	2628564.757	1104513.436	2769.6909	2628564.757	1104513.436	2769.6909	0.0	0.0
18	2628564.757	1104513.436	2769.6909	2628564.757	1104513.436	2769.6909	0.0	0.0
19	2628564.757	1104513.436	2769.6909	2628564.757	1104513.436	2769.6909	0.0	0.0
20	2628564.757	1104513.436	2769.6909	2628564.757	1104513.436	2769.6909	0.0	0.0
21	2628442.646	1104630.67	2666.2451	2628442.646	1104630.67	2666.2451	0.0	0.0
22	2628425.899	1104658.338	2643.72	2628425.899	1104658.338	2643.72	0.0	0.0
23	2628419.439	1104670.181	2637.4299	2628419.439	1104670.181	2637.4299	0.0	0.0
24	2628419.439	1104670.181	2637.4299	2628419.439	1104670.181	2637.4299	0.0	0.0
25	2628396.415	1104727.809	2590.585	2628396.415	1104727.809	2590.585	0.0	0.0
26	2628397.009	1104733.501	2587.8831	2628397.009	1104733.501	2587.8831	0.0	0.0
27	2628397.009	1104733.501	2587.8831	2628397.009	1104733.501	2587.8831	0.0	0.0
28	2628397.009	1104733.501	2587.8831	2628397.009	1104733.501	2587.8831	0.0	0.0
29	2628397.009	1104733.501	2587.8831	2628397.009	1104733.501	2587.8831	0.0	0.0
30	2628397.009	1104733.501	2587.8831	2628397.009	1104733.501	2587.8831	0.0	0.0
31	2628397.009	1104733.501	2587.8831	2628397.009	1104733.501	2587.8831	0.0	0.0
32	2628397.009	1104733.501	2587.8831	2628397.009	1104733.501	2587.8831	0.0	0.0
33	2628373.755	1104923.795	2462.929	2628373.755	1104923.795	2462.929	0.0	0.0
55	2628632.103	1104505.282	2802.4541	2628632.103	1104505.282	2802.4541	0.0	0.0
56	2628632.103	1104505.282	2802.4541	2628632.103	1104505.282	2802.4541	0.0	0.0
57	2628632.103	1104505.282	2802.4541	2628632.103	1104505.282	2802.4541	0.0	0.0
58	2628632.103	1104505.282	2802.4541	2628632.103	1104505.282	2802.4541	0.0	0.0
59	2628564.757	1104513.436	2769.6909	2628564.757	1104513.436	2769.6909	0.0	0.0
60	2628564.757	1104513.436	2769.6909	2628564.757	1104513.436	2769.6909	0.0	0.0
61	2628564.757	1104513.436	2769.6909	2628564.757	1104513.436	2769.6909	0.0	0.0
62	2628564.757	1104513.436	2769.6909	2628564.757	1104513.436	2769.6909	0.0	0.0
63	2628564.757	1104513.436	2769.6909	2628564.757	1104513.436	2769.6909	0.0	0.0
64	2628564.757	1104513.436	2769.6909	2628564.757	1104513.436	2769.6909	0.0	0.0
65	2628564.757	1104513.436	2769.6909	2628564.757	1104513.436	2769.6909	0.0	0.0
66	2628564.757	1104513.436	2769.6909	2628564.757	1104513.436	2769.6909	0.0	0.0
67	2628427.089	1104662.762	2642.6919	2628427.089	1104662.762	2642.6919	0.0	0.0
68	2628419.439	1104670.181	2637.4299	2628419.439	1104670.181	2637.4299	0.0	0.0
69	2628419.439	1104670.181	2637.4299	2628419.439	1104670.181	2637.4299	0.0	0.0
70	2628395.987	1104719.162	2600.8081	2628395.987	1104719.162	2600.8081	0.0	0.0
71	2628397.009	1104733.501	2587.8831	2628397.009	1104733.501	2587.8831	0.0	0.0
72	2628397.009	1104733.501	2587.8831	2628397.009	1104733.501	2587.8831	0.0	0.0
73	2628397.009	1104733.501	2587.8831	2628397.009	1104733.501	2587.8831	0.0	0.0
74	2628397.009	1104733.501	2587.8831	2628397.009	1104733.501	2587.8831	0.0	0.0
75	2628397.009	1104733.501	2587.8831	2628397.009	1104733.501	2587.8831	0.0	0.0
76	2628397.009	1104733.501	2587.8831	2628397.009	1104733.501	2587.8831	0.0	0.0
77	2628397.009	1104733.501	2587.8831	2628397.009	1104733.501	2587.8831	0.0	0.0
78	2628362.306	1104925.207	2455.061	2628362.306	1104925.207	2455.061	0.0	0.0
100	2628632.103	1104505.282	2802.4541	2628632.103	1104505.282	2802.4541	0.0	0.0
101	2628632.103	1104505.282	2802.4541	2628632.103	1104505.282	2802.4541	0.0	0.0
102	2628632.103	1104505.282	2802.4541	2628632.103	1104505.282	2802.4541	0.0	0.0
103	2628632.103	1104505.282	2802.4541	2628632.103	1104505.282	2802.4541	0.0	0.0
104	2628564.757	1104513.436	2769.6909	2628564.757	1104513.436	2769.6909	0.0	0.0
105	2628564.757	1104513.436	2769.6909	2628564.757	1104513.436	2769.6909	0.0	0.0
106	2628564.757	1104513.436	2769.6909	2628564.757	1104513.436	2769.6909	0.0	0.0
107	2628564.757	1104513.436	2769.6909	2628564.757	1104513.436	2769.6909	0.0	0.0
108	2628564.757	1104513.436	2769.6909	2628564.757	1104513.436	2769.6909	0.0	0.0
109	2628564.757	1104513.436	2769.6909	2628564.757	1104513.436	2769.6909	0.0	0.0
110	2628564.757	1104513.436	2769.6909	2628564.757	1104513.436	2769.6909	0.0	0.0
111	2628564.757	1104513.436	2769.6909	2628564.757	1104513.436	2769.6909	0.0	0.0
112	2628425.375	1104659.975	2642.7649	2628425.335	1104659.413	2642.979	0.6027294668194262	0.0861042095456323
113	2628419.439	1104670.181	2637.4299	2628419.439	1104670.181	2637.4299	0.0	0.0
